,2D Aesthetic,Action,Comedy,Horror/Shooter,Illustration and Animation,Indie,RPG,Simulation,Strategy,Utilities,Visual Novel
2D Aesthetic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Action,0.0,1.0,0.0,0.0,1.0,0.0,0.0086,0.0,0.0152,1.0,0.0
Comedy,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Horror/Shooter,0.0,0.0,0.0,1.0,1.0,0.2568,0.2697,0.0,0.0,0.8146,0.0
Illustration and Animation,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Indie,0.0,0.0,0.0,0.2568,1.0,1.0,1.0,0.0,0.0,1.0,0.0
RPG,0.0,0.0086,0.0,0.2697,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Simulation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0007,1.0,0.0
Strategy,0.0,0.0152,0.0,0.0,1.0,0.0,0.0,0.0007,1.0,1.0,0.0
Utilities,0.0,1.0,0.0,0.8146,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Visual Novel,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
